iter,f1_macro,f1_micro
0,0.65607,0.68382
50,0.66856,0.69289
100,0.68227,0.70305
150,0.69302,0.71121
200,0.70358,0.71939
250,0.71409,0.72761
300,0.72177,0.73366
350,0.72923,0.7395
400,0.73731,0.74608
450,0.74384,0.75137
500,0.74907,0.75561
550,0.75492,0.7605
600,0.75982,0.76463
650,0.76352,0.76768
700,0.76803,0.77155
750,0.7712,0.77426
800,0.77336,0.77603
850,0.77515,0.77742
900,0.77635,0.77834
950,0.77874,0.78042
1000,0.78051,0.78195
1050,0.78241,0.78366
1100,0.78405,0.78508
1150,0.78561,0.78647
1200,0.78622,0.78697
1250,0.78751,0.78813
1300,0.78803,0.78855
1350,0.78819,0.78863
1400,0.78832,0.78868
1450,0.78887,0.78918
1500,0.78925,0.78953
1550,0.78894,0.78916
1600,0.7895,0.78968
1650,0.78945,0.78961
1700,0.78943,0.78955
1750,0.78943,0.78953
1800,0.7896,0.78968
1850,0.78999,0.79005
1900,0.78961,0.78966
1950,0.7898,0.78984
2000,0.7895,0.78953
2050,0.78956,0.78958
2100,0.78914,0.78916
2150,0.78873,0.78874
2200,0.78847,0.78847
2250,0.78847,0.78847
2300,0.78829,0.78829
2350,0.78813,0.78813
